genome_seqid	gff_seqid	canonical_seqid
Lco1464_v1.0_h1tg000001l	Lco1464_v1.0_h1tg000001l	Lco1464_v1.0_h1tg000001l
Lco1464_v1.0_h1tg000002l	Lco1464_v1.0_h1tg000002l	Lco1464_v1.0_h1tg000002l
Lco1464_v1.0_h1tg000003l	Lco1464_v1.0_h1tg000003l	Lco1464_v1.0_h1tg000003l
Lco1464_v1.0_h1tg000004l	Lco1464_v1.0_h1tg000004l	Lco1464_v1.0_h1tg000004l
Lco1464_v1.0_h1tg000005l	Lco1464_v1.0_h1tg000005l	Lco1464_v1.0_h1tg000005l
Lco1464_v1.0_h1tg000006l	Lco1464_v1.0_h1tg000006l	Lco1464_v1.0_h1tg000006l
Lco1464_v1.0_h1tg000007l	Lco1464_v1.0_h1tg000007l	Lco1464_v1.0_h1tg000007l
Lco1464_v1.0_h1tg000008l	Lco1464_v1.0_h1tg000008l	Lco1464_v1.0_h1tg000008l
Lco1464_v1.0_h1tg000009l	Lco1464_v1.0_h1tg000009l	Lco1464_v1.0_h1tg000009l
Lco1464_v1.0_h1tg000010l	Lco1464_v1.0_h1tg000010l	Lco1464_v1.0_h1tg000010l
Lco1464_v1.0_h1tg000011l	Lco1464_v1.0_h1tg000011l	Lco1464_v1.0_h1tg000011l
Lco1464_v1.0_h1tg000012l	Lco1464_v1.0_h1tg000012l	Lco1464_v1.0_h1tg000012l
Lco1464_v1.0_h1tg000013l	Lco1464_v1.0_h1tg000013l	Lco1464_v1.0_h1tg000013l
Lco1464_v1.0_h1tg000014l	Lco1464_v1.0_h1tg000014l	Lco1464_v1.0_h1tg000014l
Lco1464_v1.0_h1tg000015l	Lco1464_v1.0_h1tg000015l	Lco1464_v1.0_h1tg000015l
Lco1464_v1.0_h1tg000016l	Lco1464_v1.0_h1tg000016l	Lco1464_v1.0_h1tg000016l
Lco1464_v1.0_h1tg000017l	Lco1464_v1.0_h1tg000017l	Lco1464_v1.0_h1tg000017l
Lco1464_v1.0_h1tg000018l	Lco1464_v1.0_h1tg000018l	Lco1464_v1.0_h1tg000018l
Lco1464_v1.0_h1tg000019l	Lco1464_v1.0_h1tg000019l	Lco1464_v1.0_h1tg000019l
Lco1464_v1.0_h1tg000020l	Lco1464_v1.0_h1tg000020l	Lco1464_v1.0_h1tg000020l
Lco1464_v1.0_h1tg000021l		Lco1464_v1.0_h1tg000021l
Lco1464_v1.0_h1tg000022l	Lco1464_v1.0_h1tg000022l	Lco1464_v1.0_h1tg000022l
Lco1464_v1.0_h1tg000023l	Lco1464_v1.0_h1tg000023l	Lco1464_v1.0_h1tg000023l
Lco1464_v1.0_h1tg000024l		Lco1464_v1.0_h1tg000024l
Lco1464_v1.0_h1tg000025c	Lco1464_v1.0_h1tg000025c	Lco1464_v1.0_h1tg000025c
Lco1464_v1.0_h1tg000026c	Lco1464_v1.0_h1tg000026c	Lco1464_v1.0_h1tg000026c
Lco1464_v1.0_h1tg000027l	Lco1464_v1.0_h1tg000027l	Lco1464_v1.0_h1tg000027l
Lco1464_v1.0_h1tg000028l	Lco1464_v1.0_h1tg000028l	Lco1464_v1.0_h1tg000028l
Lco1464_v1.0_h1tg000029l	Lco1464_v1.0_h1tg000029l	Lco1464_v1.0_h1tg000029l
Lco1464_v1.0_h1tg000030l	Lco1464_v1.0_h1tg000030l	Lco1464_v1.0_h1tg000030l
Lco1464_v1.0_h1tg000031l	Lco1464_v1.0_h1tg000031l	Lco1464_v1.0_h1tg000031l
Lco1464_v1.0_h1tg000032l	Lco1464_v1.0_h1tg000032l	Lco1464_v1.0_h1tg000032l
Lco1464_v1.0_h1tg000033c	Lco1464_v1.0_h1tg000033c	Lco1464_v1.0_h1tg000033c
Lco1464_v1.0_h1tg000034l	Lco1464_v1.0_h1tg000034l	Lco1464_v1.0_h1tg000034l
Lco1464_v1.0_h1tg000035l	Lco1464_v1.0_h1tg000035l	Lco1464_v1.0_h1tg000035l
Lco1464_v1.0_h1tg000036c		Lco1464_v1.0_h1tg000036c
Lco1464_v1.0_h1tg000037l	Lco1464_v1.0_h1tg000037l	Lco1464_v1.0_h1tg000037l
Lco1464_v1.0_h1tg000038l		Lco1464_v1.0_h1tg000038l
Lco1464_v1.0_h1tg000039l	Lco1464_v1.0_h1tg000039l	Lco1464_v1.0_h1tg000039l
Lco1464_v1.0_h1tg000040l		Lco1464_v1.0_h1tg000040l
Lco1464_v1.0_h1tg000041l		Lco1464_v1.0_h1tg000041l
